state_fips,age,income,urban,weight
1,40,"$38,971",1,19811.7
1,61,"$28,423",1,17230.1
1,67,"$31,792",0,14898.3
1,57,"$39,319",0,14488.6
1,41,"$30,427",0,14567.6
1,18,"$17,197",0,21154.9
1,36,"$42,430",0,14567.0
1,28,"$31,290",0,19540.6
1,18,"$24,153",0,19553.9
1,73,"$24,339",0,20041.3
1,80,"$26,908",0,16640.1
1,45,"$23,253",0,17463.9
1,72,"$33,844",1,21043.5
1,62,"$25,589",0,14816.7
1,42,"$38,655",1,17529.8
1,75,"$32,564",0,16552.4
1,70,"$34,680",1,18302.7
1,31,"$24,269",1,20238.6
1,61,"$16,982",0,20615.5
1,59,"$38,186",1,16621.6
1,65,"$26,319",0,17169.0
1,44,"$32,002",0,18813.3
1,38,"$27,191",0,17837.8
1,30,"$35,030",0,16747.4
1,62,"$37,051",0,16371.1
1,20,"$25,366",0,15164.2
1,77,"$26,590",0,20244.2
1,27,"$27,881",1,17588.1
1,54,"$35,878",1,17161.9
1,38,"$32,728",0,17200.9
1,84,"$30,767",1,15717.8
1,47,"$42,382",0,17995.7
1,18,"$30,058",0,15424.7
1,75,"$25,200",1,16657.5
1,60,"$28,023",0,15057.5
1,81,"$37,676",0,16984.2
1,74,"$27,873",1,16296.9
1,71,"$51,124",0,16692.2
1,35,"$28,821",0,16948.7
1,79,"$26,247",0,17156.8
1,54,"$28,416",1,17576.5
1,79,"$30,102",0,16167.4
1,19,"$20,873",0,16940.3
1,49,"$23,643",0,21026.9
1,76,"$22,599",0,16988.0
1,83,"$34,442",0,15312.6
1,61,"$10,000",1,16575.3
1,69,"$38,997",0,17605.1
1,77,"$31,568",1,18949.1
1,76,"$28,967",0,18501.3
1,60,"$29,111",1,20474.8
1,29,"$34,114",1,14780.9
1,70,"$34,392",0,16382.4
1,83,"$34,583",0,21028.6
1,57,"$20,180",1,15081.2
1,60,"$36,755",0,17002.1
1,18,"$26,344",0,19361.7
1,31,"$32,122",1,20650.1
1,28,"$47,330",0,16478.0
1,58,"$41,560",1,14629.1
1,35,"$28,557",0,21033.1
1,40,"$29,663",0,20798.0
1,49,"$29,671",0,14411.7
