state_fips,weight,income,urban
1,4008.0,"$49,700",0
1,6705.4,"$36,300",1
1,3728.6,"$26,100",1
1,6943.1,"$24,400",1
1,5597.6,"$23,200",1
1,7204.3,"$39,800",0
1,4179.9,"$17,500",0
1,5517.1,"$64,900",0
1,5027.1,"$24,700",0
1,4737.7,"$48,600",0
1,4598.0,"$29,100",1
1,3443.2,"$22,500",0
1,3648.2,"$43,600",1
1,4968.9,"$43,900",1
1,3945.1,"$31,600",0
1,5551.5,"$68,800",0
1,5233.7,"$30,800",0
1,5368.3,"$34,000",1
1,4418.0,"$22,400",1
1,8245.3,"$35,800",1
1,3017.0,"$21,500",0
1,5261.1,"$21,500",0
1,3475.3,"$100,700",0
1,5243.6,"$15,500",0
1,10343.7,"$37,600",1
1,3891.4,"$58,400",1
1,6220.7,"$23,900",1
1,2940.3,"$37,900",0
1,2729.3,"$13,500",0
1,4310.9,"$51,400",0
1,6342.1,"$19,700",1
1,6316.0,"$32,400",0
1,4614.7,"$22,400",0
1,5855.9,"$51,500",1
1,4705.9,"$36,800",1
1,4443.0,"$65,600",0
1,5951.5,"$40,300",1
1,3471.0,"$41,300",0
1,7036.0,"$37,100",1
1,4937.1,"$34,500",0
1,6619.1,"$39,000",0
1,4201.0,"$70,400",1
1,7208.1,"$37,200",1
1,3086.6,"$46,200",0
1,7774.3,"$33,800",0
1,4529.6,"$25,300",0
1,2620.9,"$30,400",1
1,7392.4,"$18,500",1
1,5148.5,"$31,100",1
1,5947.9,"$31,200",0
1,5966.9,"$25,200",0
1,6573.4,"$48,800",0
1,3648.2,"$36,600",0
1,4650.2,"$37,700",1
1,5479.2,"$41,600",1
1,3511.3,"$44,700",1
1,3807.6,"$23,300",0
1,5939.2,"$44,600",1
1,3176.2,"$43,500",0
1,8431.1,"$25,400",0
1,4373.6,"$23,200",1
1,4399.2,"$28,800",0
1,6373.8,"$43,500",1
1,2825.7,"$47,900",1
1,4981.9,"$39,500",1
1,4556.7,"$37,500",0
1,4986.1,"$41,400",1
1,7070.7,"$42,500",1
1,3748.1,"$37,500",1
1,4014.4,"$36,400",1
1,2551.8,"$30,300",1
1,3679.9,"$42,100",1
1,7865.1,"$36,300",0
1,4028.8,"$21,900",1
1,6738.3,"$32,200",0
1,5760.9,"$54,000",0
1,3502.4,"$56,800",1
1,5330.3,"$23,000",1
1,7202.9,"$63,200",1
1,5961.1,"$17,300",1
1,5228.4,"$21,900",1
1,4002.4,"$49,800",1
1,6043.4,"$38,100",1
1,3964.2,"$39,700",1
1,5044.6,"$44,000",0
1,5036.0,"$44,400",0
1,6826.8,"$41,700",0
1,5594.6,"$54,500",1
1,3394.1,"$98,200",0
1,4459.0,"$33,500",1
1,5743.0,"$67,000",0
1,5848.9,"$56,100",1
1,5662.1,"$35,000",1
1,7130.1,"$15,900",0
1,3601.8,"$60,400",1
1,5749.2,"$61,300",0
1,4585.9,"$25,800",1
1,6938.7,"$68,600",0
1,6357.3,"$18,700",0
1,6203.5,"$99,800",1
1,3304.4,"$39,500",1
1,3818.2,"$33,000",1
1,6569.1,"$32,500",1
1,7623.4,"$30,600",1
1,4828.7,"$73,800",0
1,4638.3,"$40,900",0
1,5029.2,"$41,100",0
1,5488.8,"$27,400",1
1,5045.0,"$21,900",0
1,4301.6,"$27,900",1
1,6610.6,"$21,300",1
1,9603.9,"$57,400",0
1,8578.3,"$52,700",1
1,3746.6,"$61,200",1
1,3066.1,"$51,500",0
1,3894.9,"$39,400",0
1,3626.8,"$22,400",1
1,3227.1,"$25,400",0
1,4174.3,"$45,600",1
1,4288.6,"$31,200",0
