state_fips,weight,income,urban
1,6493.5,"$29,700",1
1,5286.0,"$43,600",0
1,5122.9,"$59,200",1
1,5149.9,"$55,400",0
1,3032.0,"$28,200",1
1,5235.1,"$37,300",1
1,6854.7,"$24,600",1
1,5993.7,"$28,600",0
1,4957.5,"$38,800",0
1,6759.4,"$49,500",0
1,4580.7,"$41,700",0
1,4367.7,"$48,100",1
1,3090.2,"$25,400",0
1,4166.2,"$25,700",1
1,5727.1,"$41,600",0
1,5424.8,"$18,700",1
1,3301.7,"$98,000",1
1,6133.4,"$45,000",1
1,3742.2,"$90,000",1
1,4879.5,"$37,300",0
1,5027.0,"$50,100",1
1,3254.1,"$44,200",0
1,7042.8,"$37,600",0
1,4038.7,"$50,800",1
1,7296.9,"$42,200",0
1,6223.9,"$32,800",1
1,5280.3,"$30,900",1
1,4060.0,"$22,700",0
1,4120.6,"$37,700",0
1,3841.0,"$26,500",1
1,4065.8,"$37,700",1
1,6606.1,"$46,000",1
1,6632.9,"$18,900",1
1,5708.6,"$33,200",0
1,4765.0,"$25,400",1
1,3895.5,"$30,900",0
1,7297.7,"$20,100",0
1,4751.4,"$10,200",1
1,5211.8,"$24,200",0
1,4290.0,"$27,400",1
1,7592.0,"$42,700",1
1,4723.8,"$54,000",0
1,6005.1,"$28,600",1
1,7342.3,"$37,700",0
1,6750.9,"$22,900",1
1,5785.7,"$38,500",0
1,4703.5,"$21,300",1
1,2678.5,"$35,000",1
1,3693.4,"$46,000",1
1,4265.9,"$19,100",1
1,5186.8,"$67,100",1
1,5893.6,"$36,800",1
1,5147.6,"$20,600",1
1,5127.5,"$58,100",1
1,3233.3,"$41,000",0
1,4620.4,"$30,100",1
1,4618.1,"$66,900",0
1,4903.2,"$33,200",1
1,2668.6,"$38,500",0
1,5351.9,"$32,900",1
1,5653.8,"$38,200",0
1,5462.6,"$27,900",1
1,4991.6,"$35,000",1
1,5388.8,"$30,400",1
1,4955.1,"$21,900",0
1,4735.4,"$21,800",1
1,4537.6,"$34,300",1
1,7862.2,"$18,500",1
1,4509.9,"$28,100",0
1,5663.0,"$49,000",0
1,5991.7,"$15,200",0
1,2333.6,"$17,300",1
1,4477.7,"$54,200",1
1,6731.8,"$33,400",1
1,6004.2,"$20,300",1
1,5591.6,"$51,700",1
1,4358.7,"$40,000",0
1,3863.2,"$32,200",0
1,4174.7,"$27,700",1
1,6128.3,"$43,400",1
1,7010.4,"$44,500",1
1,3677.5,"$23,200",1
1,3426.5,"$33,600",1
1,3961.0,"$32,100",0
1,4357.3,"$34,400",1
1,6099.5,"$20,600",0
1,3825.3,"$58,500",1
1,2964.8,"$51,100",0
1,4570.4,"$35,800",0
1,6369.7,"$34,200",0
1,4593.6,"$28,200",1
1,4525.5,"$28,400",1
1,4472.8,"$28,700",0
1,3991.3,"$33,700",0
1,4375.5,"$33,500",1
1,5143.3,"$20,900",1
1,8554.6,"$42,100",1
