
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Fatal Crashes",="Fatal Crashes",="Fatal Crashes",="Fatal Crashes",="Serious Crashes"

="Treated",="-0.631**",="-0.633**",="-0.527",="-0.662",="0.197"
="",="(0.302)",="(0.302)",="(0.457)",="(0.407)",="(0.826)"

="Log Population",="",="5.350",="-26.386",="22.105",="20.012"
="",="",="(15.082)",="(25.237)",="(20.756)",="(37.016)"

="Median Income",="",="-0.000",="",="",=""
="",="",="(0.000)",="",="",=""

="Constant",="5.351***",="-74.061",="401.411",="-327.698",="-275.054"
="",="(0.092)",="(226.723)",="(378.736)",="(312.664)",="(556.683)"

="state_fe",="Yes",="Yes",="Yes",="Yes",="Yes"
="year_fe",="Yes",="Yes",="Yes",="Yes",="Yes"
="N",="784",="784",="249",="535",="800"
="r2",="0.324",="0.324",="0.351",="0.323",="0.699"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
