state_fips,year,age,severity,hour,weekend
1,2000,2,serious,10,0
1,2000,2,serious,2,0
1,2000,4,minor,5,0
1,2000,4,minor,21,0
1,2000,1,minor,9,0
1,2000,4,serious,14,1
1,2000,2,minor,2,1
1,2000,3,minor,17,1
1,2000,4,minor,8,0
1,2000,2,serious,6,1
1,2000,4,serious,16,0
1,2000,3,minor,5,0
1,2000,3,fatal,17,1
1,2000,4,minor,13,1
1,2000,2,minor,7,1
1,2000,3,minor,23,0
1,2000,2,minor,8,0
1,2000,2,fatal,8,1
1,2000,2,fatal,10,0
1,2000,3,minor,4,1
1,2000,3,minor,8,1
1,2000,2,serious,22,1
1,2000,3,minor,21,1
1,2000,2,serious,13,1
1,2000,3,serious,13,0
1,2000,3,minor,9,0
1,2000,2,minor,16,0
1,2000,3,minor,22,1
1,2000,3,serious,12,0
1,2000,2,serious,1,1
1,2000,2,serious,11,0
1,2000,4,minor,22,1
1,2000,2,serious,19,0
1,2000,2,serious,8,0
1,2000,3,serious,23,1
1,2000,2,minor,8,0
1,2000,1,serious,11,0
1,2000,2,minor,16,1
1,2000,2,minor,21,0
1,2000,2,minor,1,0
1,2000,2,minor,22,1
1,2000,3,serious,5,0
1,2000,3,minor,10,1
1,2000,3,serious,5,1
1,2000,4,minor,3,0
1,2000,3,serious,6,0
1,2000,3,minor,17,1
1,2000,3,minor,17,1
1,2000,4,serious,15,1
1,2000,3,minor,1,1
1,2000,4,minor,22,0
1,2000,2,minor,2,1
1,2001,4,minor,3,1
1,2001,3,fatal,2,1
1,2001,2,minor,1,1
1,2001,3,serious,0,0
1,2001,2,serious,23,1
1,2001,4,minor,0,0
1,2001,3,minor,21,0
1,2001,4,minor,21,1
1,2001,2,minor,0,0
1,2001,2,serious,15,0
1,2001,1,minor,16,1
1,2001,2,serious,5,0
1,2001,1,minor,16,0
1,2001,3,minor,19,0
1,2001,2,minor,2,0
1,2001,3,minor,2,0
1,2001,1,minor,21,0
1,2001,2,serious,16,1
1,2001,1,minor,6,0
1,2001,4,minor,23,1
1,2001,3,minor,12,0
1,2001,1,minor,13,1
1,2001,2,minor,1,0
1,2001,3,minor,21,0
1,2001,1,fatal,5,0
1,2001,3,minor,7,1
1,2001,2,minor,3,1
1,2001,2,minor,2,1
1,2001,3,minor,9,0
1,2001,3,serious,22,0
1,2001,2,serious,8,1
1,2001,1,minor,14,0
1,2001,3,minor,7,1
1,2001,3,minor,4,1
1,2001,2,serious,15,0
1,2001,1,minor,4,0
1,2001,2,minor,4,0
1,2001,1,minor,6,0
1,2001,2,minor,9,1
1,2001,4,serious,9,1
1,2001,3,minor,4,1
1,2001,3,minor,1,0
1,2001,3,minor,23,1
1,2001,3,serious,18,1
1,2001,3,minor,7,1
1,2001,2,serious,13,0
1,2001,1,minor,16,1
1,2001,2,minor,1,0
1,2001,2,minor,17,1
1,2001,4,minor,20,1
1,2001,3,minor,23,1
1,2001,4,minor,17,0
1,2001,3,minor,4,0
1,2001,3,minor,2,0
1,2001,4,minor,15,0
1,2001,2,serious,3,0
1,2001,4,serious,6,1
1,2001,3,minor,14,0
1,2002,4,minor,6,0
1,2002,2,serious,4,1
1,2002,3,minor,14,0
1,2002,3,minor,5,0
1,2002,3,serious,17,1
1,2002,1,minor,5,1
1,2002,2,minor,19,0
1,2002,4,minor,3,0
1,2002,1,minor,21,1
1,2002,2,minor,2,0
1,2002,2,minor,19,0
1,2002,1,minor,0,1
1,2002,2,minor,16,0
1,2002,3,minor,11,1
1,2002,3,minor,15,0
1,2002,4,serious,2,1
1,2002,1,serious,16,1
1,2002,2,minor,21,0
1,2002,3,minor,9,1
1,2002,4,minor,20,0
1,2002,2,minor,17,0
1,2002,2,serious,21,0
1,2002,2,minor,12,1
1,2002,2,minor,5,1
1,2002,3,minor,1,0
1,2002,4,minor,4,0
1,2002,2,minor,14,0
1,2002,3,minor,21,1
1,2002,3,serious,8,0
1,2002,2,serious,5,1
1,2002,3,minor,2,0
1,2002,3,minor,9,0
1,2002,2,serious,0,1
1,2003,3,minor,7,0
1,2003,2,minor,2,0
1,2003,4,minor,4,0
1,2003,3,minor,14,0
1,2003,3,minor,10,0
1,2003,1,fatal,5,1
1,2003,3,minor,18,1
1,2003,2,minor,23,1
1,2003,2,minor,16,1
1,2003,1,minor,9,1
1,2003,1,fatal,5,0
1,2003,2,minor,15,0
1,2003,3,minor,15,0
1,2003,1,minor,7,1
1,2003,2,minor,17,1
1,2003,2,minor,17,0
1,2003,2,serious,0,0
1,2003,2,minor,16,0
1,2003,3,fatal,14,1
1,2003,1,minor,15,0
1,2003,2,minor,16,0
1,2003,4,minor,23,0
1,2003,3,minor,23,1
1,2003,1,serious,18,1
1,2003,4,minor,14,0
1,2003,4,minor,18,0
1,2003,2,minor,9,0
1,2003,4,serious,11,0
1,2003,2,minor,9,1
1,2003,2,serious,14,1
1,2003,3,minor,11,0
1,2003,2,minor,1,0
1,2003,2,minor,0,0
1,2003,2,minor,15,0
1,2003,2,serious,23,1
1,2003,1,minor,7,1
1,2003,4,minor,19,1
1,2003,4,minor,16,0
1,2003,3,minor,1,0
1,2003,3,serious,11,0
1,2003,4,minor,19,0
1,2003,2,serious,13,0
1,2003,3,serious,3,0
1,2003,3,minor,23,0
1,2003,1,minor,12,1
1,2003,1,serious,8,1
1,2003,3,minor,22,1
1,2003,1,minor,11,0
1,2003,4,minor,1,0
1,2003,1,minor,21,0
1,2003,3,minor,4,0
1,2003,2,serious,4,0
1,2003,3,minor,12,0
1,2003,3,minor,7,0
1,2003,2,minor,22,0
1,2003,3,minor,14,0
1,2004,4,minor,7,1
1,2004,2,minor,0,0
1,2004,4,minor,5,1
1,2004,3,minor,0,0
1,2004,3,minor,9,0
1,2004,4,serious,3,0
1,2004,3,minor,7,0
1,2004,2,minor,1,0
1,2004,3,minor,10,0
1,2004,4,minor,7,0
1,2004,2,minor,13,1
1,2004,4,serious,17,1
