state_fips,weight,income,urban
1,9834.7,"$41,100",1
1,5070.1,"$32,600",0
1,5760.3,"$47,800",1
1,3942.3,"$40,800",0
1,5907.1,"$74,600",1
1,14105.8,"$35,000",0
1,6722.9,"$25,200",1
1,4399.1,"$19,100",0
1,5457.4,"$28,600",0
1,2663.7,"$97,200",0
1,2618.8,"$36,500",0
1,5436.2,"$47,800",1
1,5955.7,"$52,400",0
1,5589.5,"$35,500",1
1,4840.8,"$35,700",0
1,4289.6,"$36,800",1
1,4423.7,"$76,300",0
1,4687.1,"$37,500",0
1,2430.6,"$49,500",1
1,5129.6,"$106,300",1
1,8528.4,"$33,800",0
1,5059.7,"$68,900",1
1,6207.5,"$69,100",0
1,2836.8,"$39,600",0
1,3952.1,"$44,400",1
1,6193.4,"$85,700",1
1,4110.1,"$85,500",0
1,4111.7,"$58,300",1
1,5220.7,"$50,400",0
1,5449.8,"$42,700",0
1,7497.0,"$29,000",1
1,4102.9,"$40,700",1
1,5454.3,"$52,300",1
1,4993.3,"$84,000",1
1,7272.8,"$21,900",0
1,3681.2,"$23,600",0
1,2814.6,"$48,500",1
1,5944.0,"$24,600",0
1,6087.6,"$33,500",1
1,7384.7,"$37,400",0
1,5686.0,"$31,300",0
1,3968.1,"$25,000",0
1,5014.4,"$38,700",1
1,3350.9,"$52,900",1
1,2406.7,"$56,400",0
1,4124.0,"$47,500",1
1,4946.9,"$48,500",0
1,3969.7,"$49,800",1
1,8248.1,"$35,000",1
1,4272.4,"$56,100",0
1,6237.7,"$38,300",0
1,7834.2,"$32,500",1
1,5855.8,"$63,900",1
1,4646.9,"$34,100",1
1,3194.7,"$57,200",1
1,3876.9,"$83,700",1
1,2511.4,"$20,200",0
1,5006.6,"$35,900",0
1,9217.3,"$29,800",1
1,3523.0,"$87,400",1
1,3536.6,"$59,100",0
1,6257.1,"$34,700",0
1,6129.2,"$65,300",1
1,6710.9,"$31,300",0
1,2292.0,"$25,200",0
1,6698.2,"$40,000",0
1,6965.8,"$47,900",1
1,6039.9,"$35,700",1
1,7340.5,"$52,300",1
1,9209.1,"$42,500",0
1,7034.1,"$50,400",0
1,5173.0,"$26,700",1
1,8290.3,"$46,700",1
1,5886.8,"$36,800",1
