event_time,coefficient,std_error,pvalue,ci_lower,ci_upper
-5,-0.0214715378580583,0.02208841060593954,0.3357887651697715,-0.0647648226456998,0.0218217469295832
-4,0.012000692049654238,0.01989898022995675,0.5492363640062612,-0.027001309201060995,0.051002693300369474
-3,0.0128847222178233,0.019749635188254837,0.5171902400111086,-0.025824562751156174,0.05159400718680278
-2,0.011615290641124503,0.01650177781300954,0.4848384497625826,-0.0207281938723742,0.0439587751546232
-1,0.0,0.0,,0.0,0.0
0,0.006714011593660519,0.013143365448469882,0.6117647783177593,-0.019046984685340447,0.032475007872661485
1,0.002366544662580622,0.016245383407941984,0.8847756564281388,-0.029474406816985668,0.03420749614214691
2,0.03135170818488003,0.016602071266153373,0.06489679808386861,-0.001188351496780586,0.06389176786654063
3,0.031238471081760498,0.0210169319672364,0.14359361250262026,-0.009954715574022846,0.07243165773754384
4,0.041443704329063503,0.021393307075441594,0.058493360260966076,-0.0004871775388020222,0.08337458619692903
5,0.032191478187603366,0.025992454426322205,0.22143385315665465,-0.018753732487988152,0.08313668886319489
6,0.042342634636289775,0.034785716368614675,0.22934216325431755,-0.025837369446194983,0.11052263871877453
7,0.011231666841348105,0.03805411926420229,0.7691264429237576,-0.06335440691648839,0.0858177405991846
8,-0.017943988540469493,0.04329314971930815,0.6803342044995131,-0.10279856199031347,0.06691058490937447
9,-0.023113470704382178,0.051242954400688843,0.6539386569048871,-0.1235496613297323,0.07732271992096795
10,0.024328800723461656,0.05951778542237361,0.6844930371905242,-0.09232605870439062,0.14098366015131394
