"event_time","coefficient","std_error","pvalue","ci_lower","ci_upper"
-5,-0.0800278720576442,0.0776525665753386,0.307793943299422,-0.232226902545308,0.0721711584300194
-4,-0.0426468391016142,0.092780453789103,0.64779808628573,-0.224496528528256,0.139202850325028
-3,0.0161263816208705,0.0810205217159472,0.843054526898106,-0.142673840942386,0.174926604184127
-2,0.0493127071626801,0.0694076990410358,0.48077523816636,-0.0867263829577501,0.18535179728311
-1,0,0,NA,0,0
0,0.00732687650939906,0.0888391733307884,0.934606187225571,-0.166797903218946,0.181451656237744
1,-0.0106478558638026,0.102477010281635,0.917669002338313,-0.211502796015806,0.190207084288201
2,0.0579813237050531,0.0792307913903341,0.467774575179345,-0.0973110274200017,0.213273674830108
3,0.0513016986650058,0.0781507198891569,0.514608576722525,-0.101873712317742,0.204477109647753
4,0.0978307587269082,0.0845919313473171,0.253083183659996,-0.0679694267138333,0.26363094416765
5,0.00213504732654801,0.0930349480210086,0.981784255869723,-0.180213450794629,0.184483545447725
6,0.172679252752289,0.0918339292920151,0.0660123145274451,-0.00731524866006047,0.352673754164639
7,0.0481944659027244,0.0975222421931098,0.623380652188501,-0.142949128795771,0.23933806060122
8,-0.0426847198873279,0.104680279088931,0.685224042428022,-0.247858066901632,0.162488627126976
9,0.137162188468074,0.152282805767707,0.37214986567162,-0.161312110836632,0.43563648777278
10,-0.00109685377804394,0.141150821686208,0.993831418715858,-0.277752464283011,0.275558756726923
