ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1984,0,30,0,32,7,0,0,0,23,0
10002,1984,29,17,11,19,34,24,15,20,34,5
10003,1984,0,0,0,0,0,0,0,0,0,0
10004,1984,0,0,0,0,0,0,0,0,0,0
10005,1984,0,0,0,0,0,0,0,0,0,0
10006,1984,14,14,14,14,14,14,14,14,14,14
10007,1984,20,0,11,26,36,0,40,12,14,0
10008,1984,0,0,0,0,0,0,0,0,0,0
10009,1984,19,10,23,12,9,20,0,16,25,20
10010,1984,18,11,10,16,22,19,13,8,15,14
10011,1984,15,15,15,15,15,15,15,15,15,15
10012,1984,18,25,17,16,13,18,16,15,27,18
10013,1984,16,16,16,16,16,16,16,16,16,16
10014,1984,15,15,15,15,15,15,15,15,15,15
10015,1984,0,0,9,0,0,0,0,0,0,17
10016,1984,0,0,0,0,0,0,9,0,0,0
10017,1984,22,22,22,22,22,22,22,22,22,22
10018,1984,0,16,0,31,0,0,0,0,0,0
10019,1984,0,0,0,11,0,0,16,0,0,0
10020,1984,16,16,16,16,16,16,16,16,16,16
10021,1984,24,14,14,14,14,14,14,14,14,14
10022,1984,31,31,31,31,31,31,31,31,31,31
10023,1984,0,0,0,0,0,0,0,0,0,0
10024,1984,10,22,16,10,10,10,10,10,10,10
10025,1984,0,0,0,0,0,0,0,0,0,0
10026,1984,0,0,0,0,0,8,0,0,0,0
10027,1984,0,0,23,0,0,0,0,12,0,0
10028,1984,0,0,0,0,12,0,0,0,0,14
10029,1984,37,37,37,37,37,37,37,37,37,37
10030,1984,0,0,0,14,0,0,0,0,0,0
10031,1984,0,0,0,0,0,0,24,0,0,0
10032,1984,0,0,0,0,0,0,0,0,0,0
10033,1984,0,0,0,0,0,0,0,0,0,0
10034,1984,11,11,11,11,11,11,11,11,11,11
10035,1984,11,0,12,0,0,0,0,14,0,0
10036,1984,0,12,0,18,0,0,0,0,23,0
10037,1984,26,26,26,26,26,26,26,26,26,26
10038,1984,39,18,0,18,33,29,0,7,29,0
10039,1984,18,0,21,21,18,0,26,21,0,0
10040,1984,0,0,0,13,0,0,0,0,43,0
10041,1984,0,0,0,0,0,0,0,0,0,0
10042,1984,3,13,11,12,15,6,4,9,17,5
10043,1984,5,5,5,5,5,5,5,5,5,5
10044,1984,0,0,0,0,0,0,0,0,0,0
10045,1984,0,0,0,0,0,0,0,0,0,0
10046,1984,0,0,0,0,0,0,12,7,9,0
10047,1984,0,0,0,0,0,0,15,0,0,0
10048,1984,0,0,0,0,0,0,0,0,0,0
10049,1984,0,23,0,0,0,0,0,0,12,0
10050,1984,0,0,0,0,0,0,0,0,0,15
10051,1984,0,18,0,0,0,0,0,0,0,0
10052,1984,0,0,0,0,0,12,0,28,0,27
10053,1984,28,11,14,7,2,12,8,16,28,17
10054,1984,7,8,13,33,13,2,26,13,5,21
10055,1984,12,12,12,12,12,12,12,12,12,12
10056,1984,0,0,0,14,0,0,0,0,0,6
10057,1984,0,0,0,0,0,0,0,0,0,0
10058,1984,3,0,2,0,16,20,9,22,25,28
10059,1984,0,0,0,0,0,0,0,0,0,0
10060,1984,0,0,0,0,0,0,0,0,0,0
10061,1984,21,19,0,9,10,11,22,19,18,5
10062,1984,0,0,0,0,0,0,0,0,0,0
10063,1984,0,0,0,0,0,0,0,0,0,0
10064,1984,0,0,0,3,0,0,0,0,0,0
10065,1984,0,25,10,29,7,9,12,14,12,21
10066,1984,10,10,10,10,10,10,10,10,10,10
10067,1984,8,8,8,8,8,8,8,8,8,20
10068,1984,0,0,0,15,0,0,0,0,0,28
10069,1984,0,16,0,0,0,0,0,0,0,0
10070,1984,0,0,5,0,0,0,0,7,0,0
10071,1984,0,0,0,0,0,0,0,0,15,0
10072,1984,6,6,6,6,6,6,6,6,6,6
10073,1984,0,30,0,0,0,0,0,0,0,0
10074,1984,0,0,0,0,0,0,0,0,0,0
10075,1984,25,25,2,10,8,31,22,15,7,35
10076,1984,0,0,0,0,0,0,0,0,0,0
10077,1984,0,0,0,0,0,0,0,0,0,0
10078,1984,12,0,17,20,11,15,8,12,16,16
10079,1984,21,0,13,15,25,26,19,25,31,28
10080,1984,11,17,14,25,19,15,33,6,25,25
10081,1984,0,0,0,0,16,0,4,0,0,7
10082,1984,0,0,0,0,0,0,0,0,0,0
10083,1984,20,20,20,20,20,20,20,20,20,20
10084,1984,0,0,0,0,0,0,0,0,0,0
10085,1984,0,0,0,0,0,0,0,0,0,0
10086,1984,0,0,0,0,0,0,0,0,0,7
