ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1989,15,0,13,7,0,0,0,0,0,0
10002,1989,27,27,27,27,27,27,27,27,27,27
10003,1989,0,0,0,42,0,0,0,0,0,0
10004,1989,25,14,14,7,19,10,13,11,24,8
10005,1989,20,20,20,20,20,20,20,20,20,20
10006,1989,0,0,0,0,0,0,0,0,0,0
10007,1989,33,33,33,33,33,33,33,33,33,33
10008,1989,0,0,0,0,0,0,0,0,0,0
10009,1989,0,0,0,0,27,0,0,27,0,0
10010,1989,20,20,20,20,20,20,20,20,20,20
10011,1989,35,16,12,13,17,27,15,5,26,31
10012,1989,3,3,3,3,3,3,3,3,3,3
10013,1989,7,7,7,7,7,7,7,7,7,7
10014,1989,2,2,2,2,2,2,2,2,2,2
10015,1989,28,28,28,28,28,28,28,28,28,28
10016,1989,16,16,16,16,16,16,16,16,16,16
10017,1989,0,0,0,0,0,0,0,0,0,0
10018,1989,0,0,0,0,0,0,0,0,0,0
10019,1989,0,0,0,0,0,0,7,8,0,0
10020,1989,0,0,0,0,0,0,0,0,0,0
10021,1989,20,20,20,20,20,20,20,20,20,20
10022,1989,0,0,0,0,0,0,0,0,0,0
10023,1989,24,24,24,24,24,24,24,24,24,24
10024,1989,4,4,4,4,4,4,4,4,4,4
10025,1989,11,11,11,11,11,11,11,11,11,11
10026,1989,24,24,24,24,24,24,24,24,24,24
10027,1989,0,0,0,0,0,0,0,0,0,0
10028,1989,0,0,0,0,0,0,0,16,0,0
10029,1989,0,0,0,0,0,0,0,0,0,0
10030,1989,8,8,8,8,8,8,8,8,8,8
10031,1989,18,18,18,18,18,18,18,18,18,18
10032,1989,16,0,0,0,0,0,0,0,0,0
10033,1989,20,21,30,17,40,24,18,21,8,19
10034,1989,24,24,24,24,24,24,24,24,24,24
10035,1989,8,8,8,8,8,8,8,15,8,8
10036,1989,0,0,0,0,0,0,0,0,0,0
10037,1989,0,0,0,0,0,0,0,0,0,0
10038,1989,21,21,21,21,21,21,21,21,21,21
10039,1989,13,13,13,13,13,13,13,13,13,13
10040,1989,18,18,18,18,18,18,18,18,18,18
10041,1989,23,23,23,23,23,23,23,23,23,23
10042,1989,0,0,0,0,0,0,0,0,0,0
10043,1989,2,2,2,2,2,2,2,2,2,2
10044,1989,0,0,0,0,0,0,0,0,0,0
10045,1989,0,0,0,0,0,14,0,12,0,0
10046,1989,0,0,0,0,0,0,0,0,0,0
10047,1989,0,0,0,0,0,0,0,0,0,0
10048,1989,18,18,18,18,18,18,18,18,18,18
10049,1989,0,0,0,0,18,0,0,0,0,21
10050,1989,0,0,0,0,0,0,0,0,0,0
10051,1989,0,0,0,0,0,0,0,0,0,0
