ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1989,15,0,13,7,0,0,0,0,0,0
10002,1,1,1989,27,27,27,27,27,27,27,27,27,27
10003,1,1,1989,0,0,0,42,0,0,0,0,0,0
10003,2,1,1989,0,0,0,0,0,0,0,0,0,0
10004,1,1,1989,25,14,14,7,19,10,13,11,24,8
10005,1,1,1989,20,20,20,20,20,20,20,20,20,20
10006,1,1,1989,0,0,0,0,0,0,0,0,0,0
10006,2,1,1989,0,0,0,0,0,0,0,0,0,0
10007,1,1,1989,33,33,33,33,33,33,33,33,33,33
10008,1,1,1989,0,0,0,0,0,0,0,0,0,0
10008,2,1,1989,0,0,0,0,0,0,0,0,0,0
10009,1,1,1989,0,0,0,0,0,0,0,0,0,0
10009,2,1,1989,0,0,0,0,27,0,0,27,0,0
10010,1,1,1989,20,20,20,20,20,20,20,20,20,20
10011,1,1,1989,35,16,12,13,17,27,15,5,26,31
10012,1,1,1989,3,3,3,3,3,3,3,3,3,3
10013,1,1,1989,7,7,7,7,7,7,7,7,7,7
10014,1,1,1989,2,2,2,2,2,2,2,2,2,2
10015,1,1,1989,28,28,28,28,28,28,28,28,28,28
10016,1,1,1989,16,16,16,16,16,16,16,16,16,16
10017,1,1,1989,0,0,0,0,0,0,0,0,0,0
10018,1,1,1989,0,0,0,0,0,0,0,0,0,0
10018,2,1,1989,0,0,0,0,0,0,0,0,0,0
10018,3,1,1989,0,0,0,0,0,0,0,0,0,0
10019,1,1,1989,0,0,0,0,0,0,7,8,0,0
10020,1,1,1989,0,0,0,0,0,0,0,0,0,0
10020,2,1,1989,0,0,0,0,0,0,0,0,0,0
10021,1,1,1989,20,20,20,20,20,20,20,20,20,20
10021,2,1,1989,9,9,9,9,9,9,9,9,9,9
10021,3,1,1989,0,17,0,0,0,0,0,6,0,20
10022,0,1,1989,0,0,0,0,0,0,0,0,0,0
10022,1,1,1989,0,0,0,0,0,0,0,0,0,0
10023,1,1,1989,24,24,24,24,24,24,24,24,24,24
10024,1,1,1989,4,4,4,4,4,4,4,4,4,4
10025,0,1,1989,11,11,11,11,11,11,11,11,11,11
10025,1,1,1989,0,0,0,0,0,0,0,0,0,0
10026,1,1,1989,24,24,24,24,24,24,24,24,24,24
10027,1,1,1989,0,0,0,0,0,0,0,0,0,0
10027,2,1,1989,0,0,0,0,0,0,0,0,0,0
10028,0,1,1989,0,0,0,0,0,0,0,16,0,0
10028,1,1,1989,0,0,0,0,0,0,0,0,0,0
10029,1,1,1989,0,0,0,0,0,0,0,0,0,0
10030,1,1,1989,8,8,8,8,8,8,8,8,8,8
10031,1,1,1989,18,18,18,18,18,18,18,18,18,18
10032,1,1,1989,0,0,0,0,0,0,0,0,0,0
10032,2,1,1989,16,0,0,0,0,0,0,0,0,0
10033,1,1,1989,20,21,30,17,40,24,18,21,8,19
10034,1,1,1989,24,24,24,24,24,24,24,24,24,24
10034,2,1,1989,0,0,0,15,15,0,0,0,0,0
10034,3,1,1989,9,0,0,0,0,0,0,0,0,0
10035,0,1,1989,8,8,8,8,8,8,8,8,8,8
10035,1,1,1989,0,0,0,0,0,0,0,15,5,0
10036,0,1,1989,0,0,0,0,0,0,0,0,0,0
10036,1,1,1989,0,0,0,0,0,0,0,0,0,0
10037,1,1,1989,0,0,0,0,0,0,0,0,0,0
10037,2,1,1989,0,0,0,0,0,0,0,0,0,0
10038,1,1,1989,21,21,21,21,21,21,21,21,21,21
10039,1,1,1989,13,13,13,13,13,13,13,13,13,13
10040,1,1,1989,0,0,0,0,0,0,0,0,0,0
10040,2,1,1989,18,18,18,18,18,18,18,18,18,18
10041,1,1,1989,23,23,23,23,23,23,23,23,23,23
10042,1,1,1989,0,0,0,0,0,0,0,0,0,0
10042,2,1,1989,0,0,0,0,0,0,0,0,0,0
10042,3,1,1989,0,0,0,0,0,0,0,0,0,0
10043,1,1,1989,0,0,0,0,0,0,0,0,0,0
10043,2,1,1989,2,2,2,2,2,2,2,2,2,2
10044,1,1,1989,0,0,0,0,0,0,0,0,0,0
10045,0,1,1989,0,0,0,0,0,14,0,12,0,0
10045,1,1,1989,0,0,0,0,0,0,0,0,0,0
10046,1,1,1989,0,0,0,0,0,0,0,0,0,0
10046,2,1,1989,0,0,0,0,0,0,0,0,0,0
10047,1,1,1989,0,0,0,0,0,0,0,0,0,0
10048,1,1,1989,18,18,18,18,18,18,18,18,18,18
10049,1,1,1989,0,0,0,0,0,0,0,0,0,0
10049,2,1,1989,0,0,0,0,18,0,0,0,0,21
10050,1,1,1989,0,0,0,0,0,0,0,0,0,0
10051,1,1,1989,0,0,0,0,0,0,0,0,0,0
10053,1,1,1989,25,25,25,25,25,25,25,25,25,25
10054,1,1,1989,28,28,28,28,28,28,28,28,28,28
10054,2,1,1989,0,0,0,0,0,0,0,0,0,0
10054,3,1,1989,0,0,0,0,0,0,0,0,0,0
10055,1,1,1989,24,24,24,24,24,24,24,24,24,24
10056,1,1,1989,15,15,15,15,15,15,15,15,15,15
10056,2,1,1989,0,0,0,0,0,0,0,9,0,0
10057,0,1,1989,16,16,16,16,16,16,16,16,16,16
10057,1,1,1989,0,0,0,0,0,0,0,0,0,0
10058,1,1,1989,28,28,28,28,28,28,28,28,28,28
10058,2,1,1989,0,0,21,4,0,0,0,0,0,0
10059,1,1,1989,23,23,23,23,23,23,23,23,23,23
10060,1,1,1989,0,0,0,0,0,0,0,0,0,0
10060,2,1,1989,0,0,0,0,0,0,6,0,0,0
10060,3,1,1989,0,0,0,0,0,0,0,0,0,0
10061,0,1,1989,0,0,0,0,0,0,0,0,0,0
10061,1,1,1989,0,0,0,7,0,0,0,0,0,0
10062,1,1,1989,20,20,20,20,20,20,20,20,20,20
10062,2,1,1989,0,3,0,0,0,0,0,17,0,0
10063,1,1,1989,20,12,23,23,8,12,0,32,14,18
10064,0,1,1989,24,24,24,24,24,24,24,24,24,24
10064,1,1,1989,0,0,0,0,0,0,0,0,0,0
10065,1,1,1989,0,0,0,0,0,0,0,0,0,0
10065,2,1,1989,0,0,0,0,0,0,0,0,0,0
10066,1,1,1989,0,0,0,0,0,0,0,0,0,0
10067,1,1,1989,0,0,0,0,0,0,0,0,0,0
10067,2,1,1989,0,0,0,0,0,0,0,0,0,0
10068,1,1,1989,0,0,0,0,0,0,0,0,0,0
10069,1,1,1989,0,0,0,0,0,0,0,0,0,0
10070,1,1,1989,0,0,0,0,0,0,0,0,0,0
10070,2,1,1989,0,0,0,19,0,0,0,0,0,0
10071,1,1,1989,0,0,0,0,0,0,0,0,0,0
10071,2,1,1989,0,0,0,0,0,0,0,0,0,0
10072,1,2,1989,0,0,0,0,0,0,0,0,0,0
10073,1,1,1989,33,11,18,14,0,36,29,12,29,17
10073,2,1,1989,0,0,0,0,0,0,0,13,0,0
10074,1,1,1989,5,22,26,16,0,0,9,0,0,18
10075,1,1,1989,11,11,11,11,11,11,11,11,11,11
10075,2,1,1989,0,0,0,0,0,0,0,0,0,0
10076,1,1,1989,12,23,23,16,12,18,13,13,0,18
10076,2,1,1989,0,0,0,0,0,0,0,0,0,0
10077,1,1,1989,20,20,20,20,20,20,20,20,20,20
10078,1,1,1989,12,12,12,12,12,12,12,12,12,12
10078,2,1,1989,36,22,10,11,21,18,21,10,19,16
10079,1,1,1989,0,0,0,0,0,0,0,26,0,0
10079,2,1,1989,0,0,0,0,0,0,0,0,0,0
10080,1,1,1989,0,0,0,0,0,0,0,0,0,0
10081,1,1,1989,0,0,0,0,0,0,0,0,0,0
10082,1,1,1989,0,0,0,0,0,0,0,0,0,0
10082,2,1,1989,0,0,0,15,0,0,0,0,0,0
10083,1,1,1989,1,1,1,1,1,1,1,1,1,1
10084,1,1,1989,2,2,2,2,2,2,2,2,2,2
10085,1,1,1989,0,0,0,0,0,0,0,0,0,0
10085,2,1,1989,0,0,0,0,0,0,0,0,0,0
10086,1,1,1989,0,0,0,0,0,0,0,0,0,0
10086,2,1,1989,0,0,0,0,0,0,0,0,0,0
10087,1,1,1989,7,13,55,15,9,7,0,10,0,8
10088,1,1,1989,23,23,23,23,23,23,23,23,23,23
10088,2,1,1989,0,0,0,0,0,0,0,0,0,0
10089,1,1,1989,0,0,0,0,0,0,0,0,0,0
10089,2,1,1989,0,0,0,0,0,0,0,0,0,0
10090,1,1,1989,23,23,23,23,23,23,23,23,23,23
10091,1,1,1989,0,0,0,0,0,0,0,0,0,0
10091,2,1,1989,0,0,0,0,0,0,0,0,0,0
10092,1,1,1989,0,0,17,0,0,0,0,0,0,0
10092,2,1,1989,20,20,20,20,20,20,20,20,20,20
10093,1,1,1989,0,0,0,0,0,0,0,0,0,0
10094,1,1,1989,0,0,16,0,0,0,0,0,0,0
10095,1,1,1989,0,0,0,0,0,0,0,0,0,0
10095,2,1,1989,19,19,19,19,19,19,19,19,19,19
10096,1,1,1989,0,0,0,0,0,0,0,0,0,0
10097,1,1,1989,0,0,6,0,6,9,0,13,0,0
10097,2,1,1989,18,18,18,18,18,18,18,18,18,18
10098,1,1,1989,0,0,11,0,0,0,0,0,0,0
10098,2,1,1989,0,0,0,0,0,0,0,0,0,0
10099,1,1,1989,0,0,0,0,0,0,0,0,0,0
10099,2,1,1989,12,12,12,12,12,12,12,12,12,12
10099,3,1,1989,0,19,0,0,0,0,0,0,0,21
10100,1,1,1989,0,0,0,0,0,0,0,0,0,0
10100,2,1,1989,0,0,0,0,0,0,0,0,0,0
10101,1,1,1989,0,0,0,0,0,0,0,0,16,0
10101,2,1,1989,34,9,0,0,0,0,0,14,0,7
10102,1,1,1989,0,0,0,0,0,0,0,0,0,0
10102,2,1,1989,0,0,0,0,0,0,0,0,0,0
10103,1,1,1989,22,22,22,22,22,22,22,22,22,22
10103,2,1,1989,11,0,0,0,0,0,15,0,0,0
10105,1,1,1989,0,0,0,0,0,0,0,0,0,0
10105,2,1,1989,0,0,0,10,0,0,0,0,0,0
10106,1,1,1989,19,19,19,19,19,19,19,19,19,19
10107,1,1,1989,0,0,0,0,0,0,0,11,0,0
10107,2,1,1989,17,17,17,17,17,17,17,17,17,17
10108,0,1,1989,0,0,0,0,0,0,0,0,0,0
10108,1,1,1989,0,0,0,0,11,0,0,0,0,0
10109,1,1,1989,21,21,21,21,21,21,21,21,21,21
10110,1,1,1989,12,12,12,12,12,12,12,12,12,12
10111,1,1,1989,0,0,0,0,0,0,0,0,0,0
10112,1,1,1989,0,0,0,0,0,0,0,0,0,0
10112,2,1,1989,0,0,0,0,0,0,0,0,0,0
10113,0,1,1989,13,13,13,13,13,13,13,13,13,13
10113,1,1,1989,20,0,0,0,0,0,0,0,8,0
10114,1,1,1989,0,0,0,0,0,0,0,0,0,0
10114,2,1,1989,0,0,0,0,0,0,0,0,0,0
10115,0,1,1989,1,1,1,1,1,1,1,1,1,1
10115,1,1,1989,1,1,1,1,1,1,1,1,1,1
10116,1,1,1989,15,23,20,18,3,27,14,15,15,17
10116,2,1,1989,0,0,0,0,0,0,0,0,0,0
10117,0,1,1989,37,0,20,0,0,8,8,14,0,15
10117,1,1,1989,10,32,15,14,21,15,18,9,27,6
10118,1,1,1989,0,0,0,0,0,0,0,0,0,0
10119,1,1,1989,22,22,22,22,22,22,22,22,22,22
10119,2,1,1989,3,0,0,0,0,0,0,0,0,9
10120,1,1,1989,0,18,12,0,5,0,0,0,0,0
10121,1,1,1989,0,0,0,0,0,0,0,0,0,0
10122,0,1,1989,0,0,0,23,0,6,0,0,27,0
10122,1,1,1989,16,0,0,0,0,0,0,0,0,0
10123,1,1,1989,0,0,0,0,0,0,0,0,0,0
10123,2,1,1989,0,0,0,0,0,13,0,0,0,0
10123,3,1,1989,0,0,0,0,0,0,0,0,0,0
10124,1,1,1989,0,0,0,0,0,0,0,0,0,0
10125,1,1,1989,0,0,0,0,0,0,0,0,0,0
10125,2,1,1989,0,0,0,0,0,0,0,0,0,0
10126,1,1,1989,17,17,17,17,17,17,17,17,17,17
10126,2,1,1989,14,14,14,14,14,14,14,14,14,14
10127,1,1,1989,0,0,0,0,0,0,0,0,0,0
10128,1,1,1989,0,0,0,0,0,0,0,0,0,0
10129,0,1,1989,0,0,0,0,0,0,0,0,0,0
10129,1,1,1989,0,0,0,0,0,0,0,0,0,0
10130,1,1,1989,16,15,21,16,14,14,18,15,16,19
10131,1,1,1989,36,18,12,20,23,21,26,31,15,18
10132,1,1,1989,0,0,0,0,0,0,0,0,0,0
10133,1,1,1989,32,32,32,32,32,32,32,32,32,32
10134,1,1,1989,0,0,0,0,0,0,0,0,0,0
10134,2,1,1989,0,0,0,0,0,0,0,0,0,0
10135,1,1,1989,0,0,0,0,0,0,0,0,0,0
10136,1,1,1989,33,33,33,33,33,33,33,33,33,33
10137,1,1,1989,0,0,0,0,8,0,0,0,0,0
10138,1,1,1989,0,0,0,0,0,0,0,0,0,0
10139,1,1,1989,0,0,0,7,0,0,0,0,0,0
10140,1,1,1989,13,13,13,13,13,13,13,13,13,13
10141,1,1,1989,0,0,0,0,0,0,0,0,0,0
10142,1,1,1989,13,13,13,13,13,13,13,13,13,13
10142,2,1,1989,0,0,0,0,0,0,0,0,0,0
10143,1,1,1989,0,0,0,0,0,0,0,0,0,0
