event_time,coefficient,std_error,pvalue,ci_lower,ci_upper
-5,-.080027886,.077652566,.30779386,-.23222692,.072171144
-4,-.042646848,.092780456,.647798,-.22449653,.13920285
-3,.016126374,.081020519,.84305459,-.14267385,.17492659
-2,.049312711,.069407694,.48077521,-.086726375,.1853518
-1,0,0,,0,0
0,.0073268814,.088839173,.93460613,-.16679791,.18145166
1,-.010647867,.10247701,.91766894,-.21150281,.19020708
2,.057981305,.079230793,.46777472,-.097311042,.21327366
3,.051301688,.078150719,.51460862,-.10187372,.2044771
4,.09783075,.084591933,.25308323,-.067969434,.26363093
5,.0021350449,.093034953,.98178428,-.18021345,.18448354
6,.17267926,.091833927,.066012293,-.0073152371,.35267377
7,.048194468,.097522244,.6233806,-.14294913,.23933807
8,-.0426847,.10468028,.68522418,-.24785805,.16248865
9,.13716218,.1522828,.37214991,-.16131213,.43563646
10,-.0010968462,.14115082,.99383146,-.27775246,.27555877
