event_time,coefficient,std_error,pvalue,ci_lower,ci_upper
-5,-.020797273,.021532565,.3388612,-.063001104,.021406556
-4,.010895354,.019769548,.58405715,-.027852958,.049643666
-3,.01282262,.019405738,.51185817,-.025212625,.050857864
-2,.011383805,.016293054,.48804843,-.020550581,.04331819
-1,0,0,,0,0
0,.0051975558,.013098478,.69323349,-.020475462,.030870574
1,-.0016409282,.017381262,.92517018,-.035708204,.032426346
2,.024757398,.01775681,.16953288,-.010045949,.059560746
3,.019807648,.02095627,.3491998,-.021266641,.060881935
4,.032485273,.021573579,.13854092,-.0097989421,.074769489
5,.020261219,.025326775,.4275769,-.029379262,.069901697
6,.035588495,.031131968,.25853106,-.025430162,.096607149
7,.0032026137,.034149379,.92566437,-.063730165,.0701354
8,-.024491044,.037537757,.5171681,-.098065048,.049082957
9,-.029879529,.044165347,.50188047,-.11644361,.056684554
10,.014116044,.050313,.78022563,-.084497437,.11272952
