ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1987,8,15,5,12,16,17,8,6,0,10
10002,1987,0,0,0,0,0,0,0,0,0,0
10003,1987,12,12,12,12,12,12,12,12,12,12
10004,1987,1,1,1,1,1,1,1,1,1,1
10005,1987,0,3,0,18,0,0,0,0,0,0
10006,1987,0,0,0,0,0,0,0,0,0,0
10007,1987,27,27,27,27,27,27,27,27,27,27
10008,1987,16,16,16,16,16,16,16,16,16,16
10009,1987,0,0,0,0,0,0,0,0,0,0
10010,1987,0,0,0,0,0,0,0,0,0,0
10011,1987,15,15,15,15,15,15,15,15,15,15
10012,1987,0,0,0,0,0,0,18,0,0,0
10013,1987,15,0,0,0,0,0,0,0,0,0
10014,1987,0,0,0,0,0,0,0,0,0,0
10015,1987,26,0,0,29,0,11,0,0,0,0
10016,1987,28,15,4,19,7,7,13,23,12,11
10017,1987,0,0,0,0,0,0,0,0,0,0
10018,1987,0,0,0,0,0,0,0,0,0,0
10019,1987,0,0,0,0,0,0,0,0,0,0
10020,1987,14,0,22,32,0,25,10,0,18,0
10021,1987,7,7,7,7,7,7,7,7,7,7
10022,1987,0,0,0,0,2,0,0,0,0,0
10023,1987,0,0,0,0,0,0,0,0,0,0
10024,1987,12,11,15,0,22,9,13,22,12,25
10025,1987,14,14,14,14,14,14,14,14,14,14
10026,1987,11,11,11,11,11,11,11,11,11,11
10027,1987,5,9,16,26,23,18,11,2,0,12
10028,1987,0,0,0,0,0,0,0,0,0,0
10029,1987,0,0,0,0,0,0,0,0,0,0
10030,1987,0,0,13,0,0,0,6,6,0,26
10031,1987,43,43,43,43,43,43,43,43,43,43
10032,1987,13,13,13,13,13,13,13,13,13,13
10033,1987,0,12,0,15,21,0,22,8,24,0
10034,1987,34,0,0,24,11,0,0,0,44,0
10035,1987,0,0,0,0,0,0,0,0,0,0
10036,1987,19,19,19,19,19,19,19,19,19,19
10037,1987,0,0,0,0,0,0,0,0,0,0
10038,1987,0,0,0,0,0,19,19,0,0,42
10039,1987,16,16,16,16,16,16,16,16,16,16
10040,1987,0,0,0,0,0,0,0,0,0,0
10041,1987,25,0,20,0,7,0,0,20,0,17
10042,1987,18,18,18,18,18,18,18,18,18,18
10043,1987,0,0,0,0,0,0,0,0,0,0
10044,1987,0,0,0,0,0,0,0,0,0,0
10045,1987,0,0,0,0,0,0,0,0,0,0
10046,1987,0,0,0,0,0,0,0,0,0,0
10047,1987,0,12,23,14,8,21,8,11,33,18
10048,1987,31,22,25,41,25,23,27,18,25,21
10049,1987,17,17,17,17,17,17,17,17,17,17
10050,1987,15,15,15,15,15,15,15,15,15,15
10051,1987,48,48,48,48,48,48,48,48,48,48
10052,1987,10,0,25,0,0,15,0,0,0,14
10053,1987,34,34,34,34,34,34,34,34,34,34
10054,1987,0,0,0,0,0,0,0,0,0,0
10055,1987,12,0,3,15,9,9,24,22,29,17
10056,1987,0,0,0,0,0,0,0,0,0,0
10057,1987,7,7,7,7,7,7,7,7,7,7
10058,1987,22,22,22,22,22,22,22,22,22,22
10059,1987,0,0,0,0,0,0,0,0,10,0
10060,1987,11,31,16,23,22,29,0,34,8,19
10061,1987,0,0,34,0,0,0,0,0,0,0
10062,1987,18,8,9,9,15,13,9,12,26,29
10063,1987,15,20,6,14,10,7,17,13,25,9
10064,1987,8,8,8,8,8,8,8,8,8,8
10065,1987,0,0,14,7,0,16,21,8,15,13
10066,1987,5,5,5,5,5,5,5,5,5,5
10067,1987,27,27,27,27,27,27,27,27,27,27
