ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1988,0,0,0,0,0,0,0,21,0,0
10002,1988,0,0,0,0,0,0,0,0,0,0
10003,1988,14,14,14,14,14,14,14,14,14,14
10004,1988,0,0,0,30,0,0,0,0,0,0
10005,1988,0,0,0,0,0,0,0,0,0,0
10006,1988,0,0,0,0,0,0,0,0,0,0
10007,1988,0,0,0,0,0,0,0,0,0,0
10008,1988,0,0,0,0,0,0,0,0,0,17
10009,1988,0,0,0,0,0,0,0,0,0,0
10010,1988,0,0,0,0,0,0,0,0,0,0
10011,1988,0,0,0,0,0,0,0,0,0,0
10012,1988,20,20,20,20,20,20,20,20,20,20
10013,1988,20,12,6,14,6,21,3,20,23,14
10014,1988,0,0,0,0,0,0,0,0,0,0
10015,1988,21,21,21,21,21,21,21,21,21,21
10016,1988,0,0,23,0,0,0,0,0,0,0
10017,1988,22,10,6,0,8,17,6,18,18,13
10018,1988,0,0,0,0,0,0,0,0,0,0
10019,1988,28,28,28,28,28,28,28,28,28,28
10020,1988,0,0,0,0,0,0,22,0,0,0
10022,1988,24,24,24,24,24,24,24,24,24,24
10023,1988,0,0,0,0,6,0,0,0,0,0
10024,1988,30,30,30,30,30,30,30,30,30,30
10025,1988,0,0,0,0,0,0,0,0,0,0
10026,1988,16,16,10,16,32,13,16,26,0,16
10027,1988,20,14,19,23,14,10,22,14,11,25
10028,1988,22,0,0,0,0,0,0,0,0,16
10029,1988,0,0,0,0,0,0,0,0,0,0
10030,1988,30,30,30,30,30,30,30,30,30,30
10031,1988,28,17,13,17,13,14,26,11,28,39
10032,1988,12,12,12,12,12,12,12,12,12,12
10033,1988,0,27,9,24,19,19,0,25,22,0
10034,1988,22,22,22,22,22,22,22,22,22,22
10036,1988,0,22,0,0,0,0,0,0,0,0
10037,1988,0,0,0,0,0,0,0,12,0,0
10038,1988,0,0,0,25,0,0,0,13,0,0
10039,1988,24,24,24,24,24,24,24,24,24,24
10040,1988,0,0,0,0,0,0,0,0,0,0
10041,1988,0,0,0,0,0,0,0,0,0,0
10042,1988,0,0,0,0,0,0,14,0,0,0
10043,1988,0,0,0,0,0,0,0,0,0,0
10044,1988,0,0,0,0,0,0,0,0,0,0
10045,1988,0,0,0,0,0,13,0,12,0,18
10046,1988,0,0,4,0,0,0,0,0,0,0
10047,1988,21,21,21,21,21,21,21,21,21,21
10048,1988,0,0,0,0,0,0,0,0,0,0
10049,1988,21,21,21,21,21,21,21,21,21,21
10050,1988,5,0,7,14,0,0,0,7,15,0
10051,1988,0,0,0,0,0,0,0,0,0,0
10052,1988,29,29,29,29,29,29,29,29,29,29
10053,1988,21,0,16,34,21,13,5,30,16,11
10054,1988,0,0,0,0,0,0,0,0,0,19
10055,1988,17,17,17,17,17,17,17,17,17,17
10056,1988,0,0,0,0,0,0,0,0,0,0
10057,1988,0,0,0,0,0,0,0,0,0,0
10058,1988,0,0,0,0,0,0,0,34,0,0
10059,1988,0,0,0,0,0,0,0,0,0,0
10060,1988,0,0,19,0,0,0,0,0,0,0
10061,1988,0,0,0,0,0,0,0,0,0,0
10062,1988,8,8,8,8,8,8,8,8,8,8
10063,1988,0,13,0,12,0,0,18,9,0,0
10064,1988,33,17,5,18,0,0,27,12,14,9
10065,1988,0,0,0,0,0,0,0,0,0,0
10066,1988,0,0,0,0,0,0,0,0,26,0
10067,1988,6,0,0,0,8,0,0,0,3,0
10068,1988,0,0,13,0,10,0,0,4,0,3
10069,1988,0,13,0,0,0,0,0,0,0,0
10070,1988,0,0,0,0,0,0,0,0,0,0
10071,1988,0,0,0,0,0,0,0,0,0,0
10072,1988,0,0,10,0,0,0,0,0,0,0
10073,1988,21,21,21,21,21,21,21,21,21,21
10074,1988,0,0,0,0,0,0,0,0,0,0
10075,1988,0,0,0,0,0,0,0,0,0,0
