ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1988,0,0,0,0,0,0,0,21,0,0
10002,1,1,1988,0,0,0,0,0,0,0,0,0,0
10002,2,1,1988,0,0,0,0,0,0,0,0,0,0
10003,1,1,1988,14,14,14,14,14,14,14,14,14,14
10004,1,1,1988,0,0,0,30,0,0,0,0,0,0
10005,0,1,1988,24,24,24,24,24,24,24,24,24,24
10005,1,1,1988,0,0,0,0,0,0,0,0,0,0
10006,1,1,1988,0,0,0,0,0,0,0,0,0,0
10006,2,1,1988,0,0,0,0,0,0,0,0,0,0
10007,1,1,1988,0,0,0,0,0,0,0,0,0,0
10007,2,1,1988,0,0,0,0,0,0,0,0,0,0
10007,3,1,1988,0,0,0,0,0,0,0,0,0,0
10008,0,1,1988,24,24,24,24,24,24,24,24,24,24
10008,1,1,1988,0,0,0,0,0,0,0,0,0,17
10009,1,1,1988,0,0,0,0,0,0,0,0,0,0
10009,2,1,1988,0,0,0,0,0,0,0,0,0,0
10010,1,1,1988,0,0,0,0,0,0,0,0,0,0
10011,1,1,1988,0,0,0,0,0,0,0,0,0,0
10011,2,1,1988,0,0,0,0,0,0,0,0,0,0
10012,1,1,1988,20,20,20,20,20,20,20,20,20,20
10013,1,1,1988,20,12,6,14,6,21,3,20,23,14
10014,1,1,1988,0,0,0,0,0,0,0,0,0,0
10015,1,1,1988,21,21,21,21,21,21,21,21,21,21
10015,2,1,1988,0,0,0,0,0,0,0,0,0,0
10015,3,1,1988,0,0,17,0,0,0,0,0,0,0
10015,4,1,1988,0,0,0,0,0,0,0,0,17,0
10016,1,1,1988,0,0,23,0,0,0,0,0,0,0
10017,1,1,1988,22,10,6,0,8,17,6,18,18,13
10018,1,1,1988,0,0,0,0,0,0,0,0,0,0
10018,2,1,1988,0,0,0,0,0,0,0,0,0,0
10019,1,1,1988,28,28,28,28,28,28,28,28,28,28
10019,2,1,1988,2,2,2,2,2,2,2,2,2,2
10020,1,1,1988,0,0,0,0,0,0,22,0,0,0
10020,2,1,1988,0,0,0,0,0,0,10,0,0,0
10022,1,1,1988,24,24,24,24,24,24,24,24,24,24
10023,0,1,1988,0,20,0,37,0,19,36,35,0,28
10023,1,1,1988,0,0,0,0,0,0,0,0,0,0
10023,2,1,1988,0,0,0,0,6,0,0,0,0,0
10024,1,1,1988,30,30,30,30,30,30,30,30,30,30
10024,2,1,1988,0,0,0,0,0,0,0,0,0,0
10025,1,1,1988,0,0,0,0,0,0,0,0,0,0
10026,1,1,1988,0,0,0,0,0,0,0,0,0,0
10026,2,1,1988,16,16,10,16,32,13,16,26,0,16
10027,1,1,1988,20,14,19,23,14,10,22,14,11,25
10028,0,1,1988,3,3,3,3,3,3,3,3,3,3
10028,1,1,1988,22,0,0,0,0,0,0,0,0,16
10029,1,1,1988,0,0,0,0,0,0,0,0,0,0
10030,1,1,1988,30,30,30,30,30,30,30,30,30,30
10030,2,1,1988,0,0,0,0,0,0,0,0,0,0
10031,1,1,1988,28,17,13,17,13,14,26,11,28,39
10032,1,1,1988,0,0,0,0,0,0,0,0,0,0
10032,2,1,1988,12,12,12,12,12,12,12,12,12,12
10033,1,1,1988,0,0,0,0,0,0,0,0,0,0
10033,2,1,1988,0,27,9,24,19,19,0,25,22,0
10034,1,1,1988,22,22,22,22,22,22,22,22,22,22
10036,1,1,1988,0,22,0,0,0,0,0,0,0,0
10037,0,1,1988,16,0,0,0,0,0,0,0,0,0
10037,1,1,1988,0,0,0,0,0,0,0,12,0,0
10038,0,1,1988,44,44,44,44,44,44,44,44,44,44
10038,1,1,1988,0,0,0,25,0,0,0,13,0,0
10039,1,1,1988,24,24,24,24,24,24,24,24,24,24
10040,1,1,1988,0,0,0,0,0,0,0,0,0,0
10040,2,1,1988,0,0,0,0,0,0,0,0,0,0
10041,1,1,1988,0,0,0,0,0,0,0,0,0,0
10041,2,1,1988,0,0,0,0,0,0,0,0,0,0
10042,1,1,1988,0,0,0,0,0,0,14,0,0,0
10042,2,1,1988,0,0,0,0,0,0,0,0,0,0
10043,0,1,1988,0,0,0,0,0,0,0,0,0,0
10043,1,1,1988,0,0,0,0,0,0,0,0,0,0
10044,1,1,1988,0,0,0,0,0,0,0,0,0,0
10044,2,1,1988,0,0,0,0,0,0,0,0,0,0
10045,1,1,1988,0,0,0,0,0,13,0,0,0,18
10045,2,1,1988,0,0,0,0,0,0,0,12,0,0
10046,1,1,1988,0,0,4,0,0,0,0,0,0,0
10046,2,1,1988,0,0,0,0,0,0,0,0,0,0
10047,1,1,1988,21,21,21,21,21,21,21,21,21,21
10048,1,1,1988,0,0,0,0,0,0,0,0,0,0
10049,1,1,1988,21,21,21,21,21,21,21,21,21,21
10050,1,1,1988,5,0,0,0,0,0,0,7,0,0
10050,2,1,1988,0,0,7,14,0,0,0,0,15,0
10051,1,1,1988,0,0,0,0,0,0,0,0,0,0
10051,2,1,1988,0,0,0,0,0,0,0,0,0,0
10052,1,1,1988,29,29,29,29,29,29,29,29,29,29
10053,1,1,1988,21,0,16,34,21,13,5,30,16,11
10054,0,1,1988,10,0,17,0,0,0,17,33,7,0
10054,1,1,1988,0,0,0,0,0,0,0,0,0,19
10055,1,1,1988,17,17,17,17,17,17,17,17,17,17
10056,1,1,1988,0,0,0,0,0,0,0,0,0,0
10057,1,1,1988,0,0,0,0,0,0,0,0,0,0
10057,2,1,1988,0,0,0,0,0,0,0,0,0,0
10058,1,1,1988,0,0,0,0,0,0,0,34,0,0
10058,2,1,1988,0,0,0,0,0,0,0,0,0,0
10059,1,1,1988,0,0,0,0,0,0,0,0,0,0
10059,2,1,1988,0,0,0,0,0,0,0,0,0,0
10060,1,1,1988,0,0,19,0,0,0,0,0,0,0
10060,2,1,1988,0,0,7,0,0,0,0,0,0,0
10061,1,1,1988,0,0,0,0,0,0,0,0,0,0
10061,2,1,1988,0,0,0,0,0,0,0,0,0,0
10062,1,1,1988,8,8,8,8,8,8,8,8,8,8
